teff,logg,M_H,en
3700,0.0,0.0,0.0
3700,0.5,0.0,0.0
3700,0.5,0.0,0.0
3700,1.0,0.0,0.0
3700,1.5,0.0,0.0
3700,2.0,-1.0,0.4
3700,2.0,0.0,0.0
3700,2.5,-1.0,0.4
3700,2.5,0.0,0.0
3700,3.0,-1.0,0.4
3700,3.0,-0.5,0.2
3700,3.0,0.0,0.0
3700,3.5,-0.5,0.2
3700,3.5,0.0,0.0
3700,4.0,-0.5,0.2
3700,4.0,0.0,0.0
3700,4.5,-2.5,0.4
3700,4.5,-2.0,0.4
3700,4.5,-1.5,0.4
3700,4.5,-1.0,0.4
3700,4.5,-0.5,0.2
3700,4.5,0.0,0.0
3700,4.5,0.5,0.0
3700,5.0,-2.5,0.4
3700,5.0,-2.0,0.4
3700,5.0,-1.5,0.4
3700,5.0,-1.0,0.4
3700,5.0,-0.5,0.2
3700,5.0,0.0,0.0
3700,5.0,0.0,0.2
3700,5.0,0.5,0.0
3700,5.5,-2.5,0.4
3700,5.5,-2.0,0.4
3700,5.5,-1.5,0.4
3700,5.5,-1.0,0.4
3700,5.5,-0.5,0.2
3700,5.5,0.0,0.0
3700,5.5,0.0,0.2
3700,5.5,0.5,0.0
3700,6.0,-0.5,0.2
3700,6.0,0.0,0.0
3800,0.0,0.0,0.0
3800,0.5,0.0,0.0
3800,0.5,0.0,0.0
3800,1.0,0.0,0.0
3800,1.5,0.0,0.0
3800,2.0,0.0,0.0
3800,2.5,-1.0,0.4
3800,2.5,0.0,0.0
3800,3.0,-1.0,0.4
3800,3.0,-0.5,0.2
3800,3.0,0.0,0.0
3800,3.5,-0.5,0.2
3800,3.5,0.0,0.0
3800,4.0,-0.5,0.2
3800,4.0,0.0,0.0
3800,4.5,-2.5,0.4
3800,4.5,-2.0,0.4
3800,4.5,-1.5,0.4
3800,4.5,-1.0,0.4
3800,4.5,-0.5,0.2
3800,4.5,0.0,0.0
3800,4.5,0.5,0.0
3800,5.0,-2.5,0.4
3800,5.0,-2.0,0.4
3800,5.0,-1.5,0.4
3800,5.0,-1.0,0.4
3800,5.0,-0.5,0.2
3800,5.0,0.0,0.0
3800,5.0,0.0,0.2
3800,5.0,0.5,0.0
3800,5.5,-2.5,0.4
3800,5.5,-2.0,0.4
3800,5.5,-1.5,0.4
3800,5.5,-1.0,0.4
3800,5.5,-0.5,0.2
3800,5.5,0.0,0.0
3800,5.5,0.0,0.2
3800,5.5,0.5,0.0
3800,6.0,-0.5,0.2
3800,6.0,0.0,0.0
3900,0.0,0.0,0.0
3900,0.5,0.0,0.0
3900,0.5,0.0,0.0
3900,1.0,0.0,0.0
3900,1.5,0.0,0.0
3900,2.0,0.0,0.0
3900,2.5,0.0,0.0
3900,3.0,-1.0,0.4
3900,3.0,-0.5,0.2
