teff,logg,Y,f_rain,kzz,FeH,CO,f_hole
500,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
500,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
500,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
500,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
500,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
500,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
500,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
500,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
500,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
500,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
500,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
500,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
500,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
500,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
500,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
500,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
500,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
525,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
525,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
525,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
525,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
525,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
525,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
525,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
525,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
525,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
525,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
525,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
525,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
525,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
525,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
525,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
525,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
525,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
525,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
525,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
525,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
525,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
550,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
550,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
550,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
550,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
